구분,주거용,업무용,,,산업용,,,,,,,,,,,,,,,,,,,,,,합계
,,공공용,서비스업,업무용 계,농림어업,광업,제조업,,,,,,,,,,,,,,,,,,,산업용 계,
,,,,,,,식료품제조,"섬유,의류","목재,나무","펄프,종이","출판,인쇄","석유,화확","의료,광학",요업,1차금속,조립금속,기타기계,사무기기,전기기기,"영상,음향",자동차,기타운송,가구및기타,재생재료,제조업 계,,
강원,1888434,1302530,5865276,7167806,546991,367336,462882,12402,18438,21970,7154,155434,71069,3504531,1545072,44108,44904,927,33066,32187,132206,134676,11588,3438,6236052,7150379,16206618
개성,106,3223,8882,12105,0,170,856,75734,0,8261,6196,5213,0,1428,8497,17287,14317,1954,3162,18818,10081,1011,5347,0,178162,178332,190544
경기,15607128,5127615,30798442,35926057,2263979,259545,2343302,2063141,527824,1871310,726295,6304883,1106204,1581895,1915672,2130832,7983360,274225,1074987,16583276,3097546,63496,1221007,122039,50991294,53514818,105048003
경남,4057544,1329556,8136258,9465814,1930699,82166,909615,347479,63566,856133,28169,1719501,154470,425817,3781878,1691776,1917053,5261,924282,599966,2184266,2575675,109088,46108,18340103,20352968,33876325
경북,3176918,1460187,7864509,9324696,1588826,223169,531246,3753969,66717,357586,44952,3232753,192924,1248170,12040196,760447,821770,13941,674295,4271136,2394212,121369,40531,77013,30643227,32455222,44956836
광주,1880747,519066,3036910,3555976,72806,2430,151856,322000,6299,37986,20852,381875,14563,21560,72819,139810,405394,3353,215908,474992,519659,12109,5496,15383,2821914,2897150,8333873
대구,3024175,747243,5203463,5950706,66068,4444,205423,1139347,15956,410334,43509,390176,74853,61656,296803,615728,521443,40958,201356,333091,1414323,72389,38470,26500,5902315,5972827,14947708
대전,1849215,948718,3779404,4728122,28359,2532,195676,43412,10080,577350,16326,594657,90167,45678,52111,86112,107734,4538,80886,420736,222588,3064,21311,2083,2574509,2605400,9182737
부산,4352290,1174232,7211682,8385914,96752,21068,520845,544803,54870,25071,35015,446774,67807,73305,2160105,696571,896623,2768,106629,91287,1075709,284119,52442,11542,7146285,7264105,20002307
서울,12964825,3639448,26735844,30375292,14231,3106,235680,494454,4460,39135,315896,115136,44257,34262,28762,61558,174971,5392,12368,119958,20914,18253,295585,2987,2024028,2041365,45381484
세종,272724,246413,519738,766151,73944,22505,113300,73993,1624,351564,2516,224023,12107,336860,26163,12619,192435,17588,35331,23672,77149,0,2493,2378,1505815,1602264,2641139
울산,1450241,433216,3495222,3928438,74015,20661,192087,992870,14281,616237,3117,13592197,21484,202468,4408008,365690,171079,4621,317148,22066,2481790,1401049,5286,1308,24812786,24907462,30286140
인천,3662376,901663,6364880,7266543,132422,83342,594980,75610,635370,55950,66481,2011646,2463884,172615,2047014,742382,1002356,9154,199200,915072,652598,162824,215448,44498,12067082,12282846,23211766
전남,2205174,888012,5157332,6045344,2743853,64881,443810,146351,26174,315523,11037,12795990,39991,567681,6075259,131057,112169,551,66669,46397,80378,674625,10929,33985,21578576,24387310,32637829
전북,2276416,997780,4671358,5669138,1285640,69440,1372945,812727,274035,1303163,13449,4174529,93708,544985,1984403,116170,363030,6672,131640,398785,908113,177702,16104,94066,12786226,14141306,22086860
제주,675632,259990,1969206,2229196,1290798,6266,155408,1182,1228,19115,2113,15044,3938,21259,727,2703,905,0,610,0,870,464,1333,762,227661,1524725,4429553
충남,2509792,1007144,6753172,7760316,1767004,280838,1007490,311320,131316,807825,44260,7352045,714739,857455,9301698,452526,689500,12129,440058,10179377,2588823,31678,23510,22362,34968111,37015953,47286062
충북,1940308,1192535,4477619,5670154,668578,116955,1047696,393696,51720,847104,23632,2148503,448911,2321019,446339,656341,331939,36994,835714,3910064,607551,87470,316230,42113,14553036,15338569,22949032
합계,63794045,22178571,132049197,154227768,14644965,1630854,10485097,11604490,1903958,8521617,1410969,55660379,5615076,12022644,46191526,8723717,15750982,441026,5353309,38440880,18468776,5821973,2392198,548565,249357182,265633001,483654816
