,   28. 행 정 구 역 별  용 도 별  판 매 전 력 량 (1),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,   28. 행 정 구 역 별  용 도 별  판 매 전 력 량 (2),Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
0,"('22.12.31 현재, 단위 : MWh)   Power sales by province & usage",,,,,,,,"
          (As of Dec. 31. '22,  Unit : MWh)",,,"('22.12.31 현재, 단위 : MWh)   Power sales by province & usage",,,,,,,"
",,,"
      (As of Dec. 31. '22,  Unit : MWh)"
1,"                  시도별

   용도별","서   울

Seoul","부   산

Busan","대   구

Daegu","인   천

Incheon","광   주 

Gwangju","대   전 

Daejeon","울   산

Ulsan"," 세   종

Sejong","경   기

Gyeonggi","   Province

                        End of  ","                  시도별

   용도별","강   원

Gangwon ","충   북

Chungbuk"," 충   남

Chungnam ","전   북

Jeonbuk ","전   남

Jeonnam","경   북

Gyeongbuk"," 경   남

Gyeongnam"," 제   주

Jeju"," 합  계

Total","   Province

                        End of  "
2, 1. 가   정   용,14550102.715,5054429.923,3580476.738,4704964.406,2249749.519,2142124.255,1648160.617,645445.04,21128150.326,Residential, 1. 가   정   용,2332244.59,2434712.915,3250541.553,2597581.392,2606962.686,3763343.613,4863307.753,1005271.129,78557569.17,Residential
3, 2. 공   공   용,3731550.779,1318966.694,896890.326,1061842.16,596484.255,1196637.897,540143.402,369610.493,6148677.529,Public, 2. 공   공   용,1562035.947,1414052.937,1205338.946,1117562.974,1384767.156,1790827.18,1522501.327,360567.981,26218457.982999995,Public
4, 3. 서 비 스 업,28974160.927,7934443.001,5850911.018,8047039.879,3388222.064,4281816.13,3481349.061,290325.921,40545794.03,Service, 3. 서 비 스 업,6626692.007,5613789.694,7707805.082,5313084.754,5915581.371,9033740.414,9371342.116,2843686.5889999997,155219784.058,Service
5, 4. 농 림 어 업,19956.249,112182.81,85684.472,165991.703,87213.81,39500.018,92980.126,91636.745,2803261.566,"Agri., For. & Fishery", 4. 농 림 어 업,791361.274,956883.207,2389068.159,1784101.691,3636671.354,2295284.821,2414494.514,1519100.738,19285373.257,"Agri., For. & Fishery"
6, 5. 광         업,2003.647,20393.139,16921.975,86695.417,3438.322,1175.418,13921.323,11587.987,261889.971,Mining, 5. 광         업,445374.685,124484.522,339102.821,66663.012,76732.279,219136.894,61534.148,7929.01,1758984.57,Mining
7, 6. 제   조   업,1510903.0690000004,7053232.401000001,5608375.699,11440330.412999999,2791762.7520000003,2355623.411,27142626.18699999,1773473.1019999997,69643238.44799998,Manufacturing, 6. 제   조   업,5567811.913000002,18868303.38,35367781.555,10959480.130999995,21044389.765999995,27498700.449999996,17957739.917000003,308800.58099999995,266892573.17499998,Manufacturing
8,  식 료 품,227207.001,590743.404,220300.374,657765.177,137720.604,141432.822,189743.454,117363.823,2824176.329,  Food,  식 료 품,521518.329,1256590.872,1394486.856,1662982.754,889927.16,573158.633,906128.698,110501.688,12421747.978000002,  Food
9,  음      료,14982.288,19976.401,23859.135,15231.535,44451.361,19163.409,16025.014,9409.473,328630.045,  Beverage,  음      료,121385.029,147833.309,88804.271,114892.584,23035.859,79635.606,130359.649,86519.154,1284194.1219999997,  Beverage
10,  담      배,93.717,4.148,29.641,7.077,16839.125,66615.782,0,0,2917.279,  Tobacco,  담      배,12.936,5592.834,15.886,0,0,37621.289,71980.903,0,201730.61700000003,  Tobacco
11,  섬유제품,106382.839,247706.298,714758.314,37877.39,142664.969,29764.749,655984.886,23098.715,1427360.153,  Textile,  섬유제품,13094.077,183099.931,161444.104,608019.306,166031.598,3076331.274,202799.519,542.648,7796960.77,  Textile
12,  의복·모피,314780.391,37921.427,39256.657,12148.032,1608.14,2407.671,797.067,215.378,136465.369,"  Apparel, fur",  의복·모피,1275.087,4775.797,9499.621,13429.806,4623.411,11030.027,5979.159,153.016,596366.0560000001,"  Apparel, fur"
13,  가죽·가방,21166.624,101682.839,4204.354,6127.608,149.624,2815.751,314.373,2020.811,175946.975,"  Leather, luggage",  가죽·가방,355.572,61599.617,12643.325,4568.381,503.493,7251.653,63317.054,6.55,464674.60400000005,"  Leather, luggage"
14,  목재·나무,4158.138,47855.127,15180.833,501921.456,6069.561,4665.455,15747.076,1338.939,502543.74,"  Wood, cork",  목재·나무,23171.283,59445.503,128079.83,266696.248,24737.297,81556.778,69687.085,1546,1754400.349,"  Wood, cork"
15,  펄프·종이,37110.888,29691.089,475282.79,49294.946,47686.861,549647.332,594967.128,364592.205,1889286.111,"  Pulp, paper",  펄프·종이,25082.35,848317.899,769159.215,1077717.402,91466.766,361973.207,776412.518,22462.282,8010150.989,"  Pulp, paper"
