year,month,0-9(population),0-9(confirmed_case),0-9(rate),10-19(population),10-19(confirmed_case),10-19(rate),20-29(population),20-29(confirmed_case),20-29(rate),30-39(population),30-39(confirmed_case),30-39(rate),40-49(population),40-49(confirmed_case),40-49(rate),50-59(population),50-59(confirmed_case),50-59(rate),60-69(population),60-69(confirmed_case),60-69(rate),70-79(population),70-79(confirmed_case),70-79(rate),over80(population),over80(confirmed_case),over80(rate)
2020,1,4148654,0.0,0.0,4940455,0.0,0.0,6806410,3,4.407609885387451e-07,7045120,2,2.838844476744186e-07,8389281,0,0.0,8666971,5,5.769028187587105e-07,6344284,1,1.5762219976281015e-07,3607104,0,0.0,1899230,0.0,0.0
2020,2,4134824,19.0,4.59511698684152e-06,4920794,99.0,2.011870442046548e-05,6786097,853,0.0001256981737808,7026850,358,5.094743732967119e-05,8397417,437,5.203981176592755e-05,8666798,578,6.66912970626522e-05,6385073,389,6.0923344181029725e-05,3612980,133,3.6811717750997793e-05,1913794,54.0,2.821620299781481e-05
2020,3,4119475,94.0,2.281844167035848e-05,4902009,416.0,8.486316528590625e-05,6799238,1798,0.0002644413976978,7006749,653,9.3195860162823e-05,8375429,878,0.000104830451073,8662400,1266,0.0001461488732914,6426006,845,0.0001314969204821,3623899,518,0.000142939966042,1927990,387.0,0.0002007271821949
2020,4,4103848,27.0,6.579191042163355e-06,4887408,76.0,1.5550164831747215e-05,6802925,297,4.365769136070146e-05,6995799,145,2.072672471007243e-05,8362127,112,1.3393721477801044e-05,8661935,107,1.2352898053379528e-05,6456674,113,1.7501270778112694e-05,3632966,58,1.5964916820030795e-05,1938842,44.0,2.2693958558768586e-05
2020,5,4089462,17.0,4.157026034231398e-06,4872081,66.0,1.3546572809442208e-05,6804350,223,3.277315246864138e-05,6985248,134,1.91832845448007e-05,8346911,94,1.1261651166521363e-05,8668601,83,9.574786058327058e-06,6481317,57,8.79450889379427e-06,3646121,16,4.38822518506654e-06,1947280,13.0,6.675978801199622e-06
2020,6,4075794,35.0,8.587283851931673e-06,4861506,51.0,1.0490576376949858e-05,6803579,188,2.7632515180613023e-05,6972185,204,2.925912034749508e-05,8342267,160,1.9179438874349145e-05,8652260,247,2.8547454653466262e-05,6523322,263,4.031688149074965e-05,3658049,125,3.417122077916397e-05,1950446,58.0,2.9736788406343985e-05
2020,7,4062274,54.0,1.3293047194748556e-05,4850566,74.0,1.5255951573486476e-05,6801367,258,3.793355071120262e-05,6956361,314,4.513854298245879e-05,8338271,249,2.9862305986456906e-05,8653176,233,2.692652963489937e-05,6549914,185,2.8244645654889517e-05,3671175,97,2.64220583328226e-05,1956748,42.0,2.146418445298015e-05
2020,8,4045950,196.0,4.844350523362869e-05,4838700,363.0,7.502015004030009e-05,6800612,700,0.0001029319125984,6939804,681,9.812957253547797e-05,8330276,763,9.159360386138466e-05,8651547,1119,0.0001293410299915,6590179,1114,0.0001690394145591,3676849,517,0.0001406095273425,1966036,188.0,9.562388481187526e-05
2020,9,4027765,136.0,3.376562435991176e-05,4828702,161.0,3.334229364330207e-05,6801056,442,6.498990744966664e-05,6922566,417,6.023777888141478e-05,8321409,485,5.8283398881126985e-05,8652305,783,9.049611635281005e-05,6630461,814,0.000122766727683,3680759,442,0.0001200839283419,1976763,185.0,9.358734456280291e-05
2020,10,4005030,114.0,2.846420626062726e-05,4818481,151.0,3.1337676749166385e-05,6802784,407,5.9828446706524856e-05,6900752,376,5.448681534997925e-05,8312221,385,4.6317344064841394e-05,8655292,451,5.21068497746812e-05,6669780,427,6.402010261208016e-05,3687451,210,5.694990930048969e-05,1986225,179.0,9.012070636508956e-05
