local_id,year,month,population,confirmed_case,infection_rate
11,2020,1,9733509,7,7.19165102739413e-05
11,2020,2,9736962,67,0.0006880996351839516
11,2020,3,9733655,376,0.0038628860381840118
11,2020,4,9726787,183,0.0018814023582504687
11,2020,5,9724496,228,0.002344594516774957
11,2020,6,9720846,451,0.004639513885931327
11,2020,7,9715429,288,0.002964357003689698
11,2020,8,9708247,2268,0.023361581138180765
11,2020,9,9699232,1425,0.014691884883256736
11,2020,10,9689159,718,0.007410343869885922
11,2020,11,9679771,2800,0.028926304145005084
11,2020,12,9668465,10181,0.10530110001949639
11,2021,1,9657969,5159,0.05341702794862978
11,2021,2,9648606,4079,0.04227553700503472
11,2021,3,9598484,3794,0.03952707531731053
11,2021,4,9588711,5807,0.0605607990479638
11,2021,5,9575355,6077,0.06346500991347057
11,2021,6,9565990,6072,0.06347487296139762
11,2021,7,9558153,14363,0.15026961799000288
11,2021,8,9550227,14999,0.15705385851037887
11,2021,9,9542256,21127,0.22140466573103887
11,2021,10,9532428,19095,0.20031622583459324
11,2021,11,9520880,34661,0.36405248254363043
11,2021,12,9509458,70877,0.7453316477132556
11,2022,1,9505926,51989,0.546911473958455
11,2022,2,9508451,498495,5.242652036593552
11,2022,3,9506778,1982680,20.855435984725844
11,2022,4,9500480,722213,7.601858011384688
11,2022,5,9496887,135163,1.4232347926220457
11,2022,6,9494807,49091,0.5170299933426767
11,2022,7,9493211,311555,3.2818716449049745
11,2022,8,9488454,583045,6.144783965859981
11,2022,9,9450768,269968,2.856572079644744
11,2022,10,9443722,159698,1.6910493553283334
11,2022,11,9436836,306495,3.2478576505939065
11,2022,12,9428372,366106,3.8830245560951564
21,2020,1,3411819,0,0.0
21,2020,2,3410925,75,0.0021988170364343985
21,2020,3,3409932,44,0.001290348311931147
21,2020,4,3408347,18,0.0005281152417872945
21,2020,5,3406942,10,0.0002935183516479001
21,2020,6,3404423,7,0.00020561487218245206
21,2020,7,3402776,17,0.0004995920977460755
21,2020,8,3401072,130,0.003822324255411235
21,2020,9,3399749,120,0.003529672337575509
21,2020,10,3397598,171,0.005032967408151288
21,2020,11,3395514,217,0.0063907850181150775
21,2020,12,3391946,1058,0.031191534299189905
21,2021,1,3389388,889,0.026228923923729004
21,2021,2,3387761,466,0.013755397739096707
21,2021,3,3372399,583,0.01728739689461419
21,2021,4,3369704,1244,0.03691718916557656
21,2021,5,3367334,619,0.01838249487576819
21,2021,6,3364358,553,0.016437014134643223
21,2021,7,3361781,1985,0.05904608301373587
21,2021,8,3359527,3180,0.09465618225422806
21,2021,9,3358763,1335,0.03974677582193206
21,2021,10,3356311,1190,0.03545559395419555
21,2021,11,3353627,2343,0.06986465698182892
21,2021,12,3350380,8820,0.26325372047349854
21,2022,1,3348874,9357,0.27940734706650655
21,2022,2,3347396,158075,4.722327444975139
21,2022,3,3343504,697919,20.87387961850801
21,2022,4,3340214,160875,4.816308176661735
21,2022,5,3338167,40830,1.2231263444878582
21,2022,6,3336737,14133,0.4235575054312042
21,2022,7,3334595,81794,2.452891580536767
21,2022,8,3331444,210566,6.320562494822066
21,2022,9,3323826,73921,2.2239732164078383
21,2022,10,3322286,37254,1.1213363328744124
21,2022,11,3320276,80888,2.4361830161107085
21,2022,12,3317812,125922,3.795332586656507
22,2020,1,2436488,0,0.0
22,2020,2,2432883,2055,0.08446768710209246
