,year,month,계(명),0-9세,10-19세,20-29세,30-39세,40-49세,50-59세,60-69세,70-79세,80세이상
0,2020,01,11,0.0,0.0,3,2,0,5,1,0,0.0
1,2020,02,2920,19.0,99.0,853,358,437,578,389,133,54.0
2,2020,03,6855,94.0,416.0,1798,653,878,1266,845,518,387.0
3,2020,04,979,27.0,76.0,297,145,112,107,113,58,44.0
4,2020,05,703,17.0,66.0,223,134,94,83,57,16,13.0
5,2020,06,1331,35.0,51.0,188,204,160,247,263,125,58.0
6,2020,07,1506,54.0,74.0,258,314,249,233,185,97,42.0
7,2020,08,5641,196.0,363.0,700,681,763,1119,1114,517,188.0
8,2020,09,3865,136.0,161.0,442,417,485,783,814,442,185.0
9,2020,10,2700,114.0,151.0,407,376,385,451,427,210,179.0
10,2020,11,7688,301.0,592.0,1296,1096,1233,1347,1031,507,285.0
11,2020,12,26523,1098.0,1720.0,3243,3346,3825,5174,4385,2145,1587.0
12,2021,01,17470,893.0,1433.0,2235,2246,2591,3282,2644,1242,904.0
13,2021,02,11466,637.0,829.0,1597,1732,1643,2021,1756,801,450.0
14,2021,03,13414,749.0,978.0,1922,2131,2151,2318,1964,825,376.0
15,2021,04,18927,913.0,1520.0,2735,2596,3061,3554,2791,1186,571.0
16,2021,05,18329,910.0,1469.0,2884,2837,3070,3253,2515,985,406.0
17,2021,06,16623,959.0,1346.0,3062,2780,3087,2938,1771,515,165.0
18,2021,07,41372,2479.0,4335.0,9890,6967,7308,6810,2591,713,279.0
19,2021,08,53073,3424.0,5541.0,12236,8925,8353,8237,4364,1364,629.0
20,2021,09,59851,3874.0,5964.0,13556,11266,10157,7223,4982,1923,906.0
21,2021,10,53407,4207.0,6855.0,8963,9008,7936,5822,6117,2748,1751.0
22,2021,11,82499,7214.0,9525.0,7450,10213,9726,10338,15516,7760,4757.0
23,2021,12,183515,20783.0,19474.0,18184,23245,24414,24350,33198,13582,6285.0
24,2022,01,214680,25542.0,35769.0,43080,32855,33524,22340,13272,4742,3556.0
25,2022,02,2287846,297636.0,329742.0,394189,348856,369683,257524,175967,68443,45806.0
26,2022,03,9959370,1279285.0,1352696.0,1390640,1463168,1533008,1201246,997873,461844,279610.0
27,2022,04,4142095,448522.0,481777.0,554366,601973,639868,546779,468720,248930,151160.0
28,2022,05,865914,74973.0,108245.0,147723,122847,126999,114821,91553,49269,29484.0
29,2022,06,255580,20629.0,32193.0,55015,39343,37247,32572,22896,10240,5445.0
30,2022,07,1415963,125286.0,200684.0,260737,215638,214643,181020,126705,60949,30301.0
31,2022,08,3469887,295667.0,372182.0,526134,496001,510309,495779,417446,229642,126727.0
32,2022,09,1522721,130031.0,192161.0,195593,203492,223579,207778,191533,112508,66046.0
33,2022,10,788421,54166.0,94171.0,100544,109425,116301,111750,103100,61356,37608.0
34,2022,11,1541318,97997.0,174410.0,205416,219729,230072,221634,198906,115754,77400.0
35,2022,12,1960579,117836.0,229013.0,268421,296395,301837,287658,242678,129443,87298.0
36,2023,01,1117363,59399.0,96262.0,158588,171902,171203,167410,148364,85888,58347.0
37,2023,02,337297,20601.0,28367.0,47981,52832,50101,46981,43966,26998,19470.0
38,2023,03,307002,17760.0,45567.0,46316,45220,43444,38520,34463,21085,14627.0
39,2023,04,353063,15503.0,36702.0,51065,56736,51145,46930,46767,29067,19148.0
40,2023,05,533347,21431.0,61744.0,77476,83275,75658,68542,71734,44984,28503.0
41,2023,06,508776,22743.0,59677.0,67360,78237,72981,67012,72696,43725,24345.0
42,2023,07,989627,39774.0,122479.0,131080,145442,145700,132112,137775,86238,49027.0
43,2023,08,1370356,56328.0,130034.0,184949,202606,198037,190991,202496,126479,78436.0
