local_id,년-월,확진자수
11,2020-01,7
11,2020-02,67
11,2020-03,376
11,2020-04,183
11,2020-05,228
11,2020-06,451
11,2020-07,288
11,2020-08,2268
11,2020-09,1425
11,2020-10,718
11,2020-11,2800
11,2020-12,10181
11,2021-01,5159
11,2021-02,4079
11,2021-03,3794
11,2021-04,5807
11,2021-05,6077
11,2021-06,6072
11,2021-07,14363
11,2021-08,14999
11,2021-09,21127
11,2021-10,19095
11,2021-11,34661
11,2021-12,70877
11,2022-01,51989
11,2022-02,498495
11,2022-03,1982680
11,2022-04,722213
11,2022-05,135163
11,2022-06,49091
11,2022-07,311555
11,2022-08,583045
11,2022-09,269968
11,2022-10,159698
11,2022-11,306495
11,2022-12,366106
11,2023-01,201310
11,2023-02,59929
11,2023-03,64597
11,2023-04,89266
11,2023-05,127315
11,2023-06,109613
11,2023-07,184166
11,2023-08,253427
21,2020-01,0
21,2020-02,75
21,2020-03,44
21,2020-04,18
21,2020-05,10
21,2020-06,7
21,2020-07,17
21,2020-08,130
21,2020-09,120
21,2020-10,171
21,2020-11,217
21,2020-12,1058
21,2021-01,889
21,2021-02,466
21,2021-03,583
21,2021-04,1244
21,2021-05,619
21,2021-06,553
21,2021-07,1985
21,2021-08,3180
21,2021-09,1335
21,2021-10,1190
21,2021-11,2343
21,2021-12,8820
21,2022-01,9357
21,2022-02,158075
21,2022-03,697919
21,2022-04,160875
21,2022-05,40830
21,2022-06,14133
21,2022-07,81794
21,2022-08,210566
21,2022-09,73921
21,2022-10,37254
21,2022-11,80888
21,2022-12,125922
21,2023-01,77115
21,2023-02,23775
21,2023-03,13007
21,2023-04,10690
21,2023-05,27172
21,2023-06,43735
21,2023-07,92765
21,2023-08,87725
22,2020-01,0
22,2020-02,2055
22,2020-03,4629
22,2020-04,168
22,2020-05,31
22,2020-06,23
22,2020-07,34
22,2020-08,107
22,2020-09,85
22,2020-10,42
22,2020-11,58
22,2020-12,569
22,2021-01,507
22,2021-02,315
22,2021-03,304
22,2021-04,424
22,2021-05,565
22,2021-06,682
22,2021-07,1071
22,2021-08,1977
22,2021-09,1853
22,2021-10,1643
22,2021-11,1816
22,2021-12,4166
22,2022-01,9937
22,2022-02,98483
22,2022-03,392298
