"행정구역","2020년01월_계_총인구수","2020년01월_계_연령구간인구수","2020년01월_계_0~9세","2020년01월_계_10~19세","2020년01월_계_20~29세","2020년01월_계_30~39세","2020년01월_계_40~49세","2020년01월_계_50~59세","2020년01월_계_60~69세","2020년01월_계_70~79세","2020년01월_계_80~89세","2020년01월_계_90~99세","2020년01월_계_100세 이상","2020년02월_계_총인구수","2020년02월_계_연령구간인구수","2020년02월_계_0~9세","2020년02월_계_10~19세","2020년02월_계_20~29세","2020년02월_계_30~39세","2020년02월_계_40~49세","2020년02월_계_50~59세","2020년02월_계_60~69세","2020년02월_계_70~79세","2020년02월_계_80~89세","2020년02월_계_90~99세","2020년02월_계_100세 이상"
"전국  (0000000000)","51,847,509","51,847,509","4,148,654","4,940,455","6,806,410","7,045,120","8,389,281","8,666,971","6,344,284","3,607,104","1,644,448","234,401","20,381","51,844,627","51,844,627","4,134,824","4,920,794","6,786,097","7,026,850","8,397,417","8,666,798","6,385,073","3,612,980","1,656,304","236,899","20,591"
"서울특별시  (1100000000)","9,733,509","9,733,509","660,410","816,346","1,457,376","1,507,127","1,562,505","1,539,740","1,194,854","687,085","261,722","40,019","6,325","9,736,962","9,736,962","658,355","813,563","1,455,903","1,505,729","1,563,968","1,539,385","1,200,518","688,818","263,939","40,404","6,380"
"부산광역시  (2600000000)","3,411,819","3,411,819","242,231","282,183","435,626","433,536","517,826","581,966","509,116","284,987","108,317","14,235","1,796","3,410,925","3,410,925","241,624","281,120","434,692","431,911","518,321","580,966","511,174","285,602","109,312","14,396","1,807"
"대구광역시  (2700000000)","2,436,488","2,436,488","187,477","235,903","323,212","304,758","392,841","428,568","309,806","170,765","73,744","8,726","688","2,432,883","2,432,883","186,623","234,528","321,487","303,397","391,997","428,622","311,274","171,217","74,227","8,817","694"
"인천광역시  (2800000000)","2,956,119","2,956,119","241,048","282,326","407,195","419,066","490,378","516,278","341,815","171,847","73,779","11,487","900","2,954,955","2,954,955","239,941","281,097","405,835","417,708","490,716","515,758","344,843","172,269","74,306","11,574","908"
"광주광역시  (2900000000)","1,456,688","1,456,688","125,900","163,590","207,983","192,125","244,541","233,833","154,208","90,935","37,735","5,438","400","1,456,121","1,456,121","125,396","162,728","207,554","191,432","244,903","234,048","155,056","91,020","38,050","5,529","405"
"대전광역시  (3000000000)","1,474,152","1,474,152","121,132","152,558","212,630","199,709","242,465","243,752","169,130","88,002","38,976","5,464","334","1,473,125","1,473,125","120,476","151,861","212,143","199,106","242,381","243,526","170,291","88,289","39,190","5,523","339"
"울산광역시  (3100000000)","1,147,037","1,147,037","103,835","116,334","148,649","158,880","190,754","211,323","135,476","57,248","21,413","2,967","158","1,145,710","1,145,710","103,399","115,623","147,745","158,271","190,698","211,255","136,520","57,438","21,610","2,991","160"
"세종특별자치시  (3600000000)","342,328","342,328","47,342","40,361","36,452","61,447","65,109","42,665","27,467","13,558","6,804","1,068","55","343,788","343,788","47,454","40,574","36,273","61,442","65,714","42,907","27,813","13,609","6,863","1,084","55"
"경기도  (4100000000)","13,250,368","13,250,368","1,180,483","1,351,772","1,771,845","1,920,085","2,294,108","2,201,660","1,410,184","740,409","327,622","48,235","3,965","13,265,377","13,265,377","1,178,548","1,347,854","1,769,080","1,917,785","2,299,179","2,205,106","1,422,638","742,296","330,231","48,650","4,010"
"강원도  (4200000000)","1,540,540","1,540,540","109,120","142,857","180,682","170,183","228,154","270,181","224,502","135,828","67,838","10,400","795","1,539,521","1,539,521","108,694","141,975","179,813","169,694","227,950","269,666","226,444","135,668","68,321","10,493","803"
"충청북도  (4300000000)","1,599,391","1,599,391","128,793","153,715","199,901","199,322","243,851","274,025","208,445","119,138","63,105","8,557","539","1,598,599","1,598,599","128,290","153,119","198,910","198,768","243,982","273,857","209,926","119,037","63,513","8,656","541"
"충청남도  (4400000000)","2,122,455","2,122,455","180,865","207,409","245,107","277,923","328,866","341,152","262,421","167,116","97,385","13,328","883","2,120,995","2,120,995","179,808","206,578","243,748","276,553","329,789","340,568","264,305","167,339","97,941","13,481","885"
"전라북도  (4500000000)","1,817,302","1,817,302","136,102","181,692","213,494","196,940","274,349","303,487","243,700","165,237","88,857","12,637","807","1,815,112","1,815,112","135,297","180,675","212,339","195,971","274,471","303,074","244,901","165,445","89,352","12,770","817"
"전라남도  (4600000000)","1,864,712","1,864,712","138,546","174,079","204,015","194,065","265,378","317,456","258,310","192,234","105,063","14,760","806","1,861,894","1,861,894","137,868","172,888","202,760","193,083","265,366","317,226","259,385","191,719","105,793","14,984","822"
"경상북도  (4700000000)","2,662,508","2,662,508","199,154","234,724","293,166","304,966","391,303","464,755","387,775","238,260","130,048","17,417","940","2,658,956","2,658,956","198,214","233,506","291,097","303,472","390,995","464,427","389,498","238,482","130,716","17,589","960"
"경상남도  (4800000000)","3,361,344","3,361,344","284,183","332,811","386,854","420,582","543,802","585,162","432,284","239,878","119,203","15,864","721","3,358,828","3,358,828","282,751","331,566","384,750","418,383","543,911","585,186","435,315","240,111","119,977","16,139","739"
"제주특별자치도  (5000000000)","670,749","670,749","62,033","71,795","82,223","84,406","113,051","110,968","74,791","44,577","22,837","3,799","269","670,876","670,876","62,086","71,539","81,968","84,145","113,076","111,221","75,172","44,621","22,963","3,819","266"
