"행정구역","2020년03월_계_총인구수","2020년03월_계_연령구간인구수","2020년03월_계_0~9세","2020년03월_계_10~19세","2020년03월_계_20~29세","2020년03월_계_30~39세","2020년03월_계_40~49세","2020년03월_계_50~59세","2020년03월_계_60~69세","2020년03월_계_70~79세","2020년03월_계_80~89세","2020년03월_계_90~99세","2020년03월_계_100세 이상","2020년04월_계_총인구수","2020년04월_계_연령구간인구수","2020년04월_계_0~9세","2020년04월_계_10~19세","2020년04월_계_20~29세","2020년04월_계_30~39세","2020년04월_계_40~49세","2020년04월_계_50~59세","2020년04월_계_60~69세","2020년04월_계_70~79세","2020년04월_계_80~89세","2020년04월_계_90~99세","2020년04월_계_100세 이상","2020년05월_계_총인구수","2020년05월_계_연령구간인구수","2020년05월_계_0~9세","2020년05월_계_10~19세","2020년05월_계_20~29세","2020년05월_계_30~39세","2020년05월_계_40~49세","2020년05월_계_50~59세","2020년05월_계_60~69세","2020년05월_계_70~79세","2020년05월_계_80~89세","2020년05월_계_90~99세","2020년05월_계_100세 이상","2020년06월_계_총인구수","2020년06월_계_연령구간인구수","2020년06월_계_0~9세","2020년06월_계_10~19세","2020년06월_계_20~29세","2020년06월_계_30~39세","2020년06월_계_40~49세","2020년06월_계_50~59세","2020년06월_계_60~69세","2020년06월_계_70~79세","2020년06월_계_80~89세","2020년06월_계_90~99세","2020년06월_계_100세 이상","2020년07월_계_총인구수","2020년07월_계_연령구간인구수","2020년07월_계_0~9세","2020년07월_계_10~19세","2020년07월_계_20~29세","2020년07월_계_30~39세","2020년07월_계_40~49세","2020년07월_계_50~59세","2020년07월_계_60~69세","2020년07월_계_70~79세","2020년07월_계_80~89세","2020년07월_계_90~99세","2020년07월_계_100세 이상","2020년08월_계_총인구수","2020년08월_계_연령구간인구수","2020년08월_계_0~9세","2020년08월_계_10~19세","2020년08월_계_20~29세","2020년08월_계_30~39세","2020년08월_계_40~49세","2020년08월_계_50~59세","2020년08월_계_60~69세","2020년08월_계_70~79세","2020년08월_계_80~89세","2020년08월_계_90~99세","2020년08월_계_100세 이상"
"전국  (0000000000)","51,843,195","51,843,195","4,119,475","4,902,009","6,799,238","7,006,749","8,375,429","8,662,400","6,426,006","3,623,899","1,667,665","239,567","20,758","51,842,524","51,842,524","4,103,848","4,887,408","6,802,925","6,995,799","8,362,127","8,661,935","6,456,674","3,632,966","1,676,737","241,192","20,913","51,841,371","51,841,371","4,089,462","4,872,081","6,804,350","6,985,248","8,346,911","8,668,601","6,481,317","3,646,121","1,683,807","242,413","21,060","51,839,408","51,839,408","4,075,794","4,861,506","6,803,579","6,972,185","8,342,267","8,652,260","6,523,322","3,658,049","1,686,109","243,203","21,134","51,839,852","51,839,852","4,062,274","4,850,566","6,801,367","6,956,361","8,338,271","8,653,176","6,549,914","3,671,175","1,691,397","244,100","21,251","51,839,953","51,839,953","4,045,950","4,838,700","6,800,612","6,939,804","8,330,276","8,651,547","6,590,179","3,676,849","1,698,445","246,180","21,411"
"서울특별시  (1100000000)","9,733,655","9,733,655","655,134","810,349","1,461,212","1,501,662","1,558,128","1,537,114","1,205,699","691,028","266,097","40,809","6,423","9,726,787","9,726,787","651,713","806,853","1,461,968","1,499,396","1,553,951","1,535,950","1,209,291","692,568","267,588","41,039","6,470","9,724,496","9,724,496","648,909","803,192","1,463,920","1,498,555","1,550,099","1,536,375","1,211,955","694,958","268,829","41,193","6,511","9,720,846","9,720,846","646,238","800,377","1,465,500","1,496,864","1,547,624","1,532,341","1,217,518","697,099","269,405","41,346","6,534","9,715,429","9,715,429","643,327","797,290","1,465,057","1,493,859","1,545,423","1,531,558","1,220,667","699,735","270,476","41,465","6,572","9,708,247","9,708,247","639,596","794,131","1,465,467","1,490,070","1,542,023","1,529,802","1,225,960","700,846","271,967","41,753","6,632"
"부산광역시  (2600000000)","3,409,932","3,409,932","240,857","279,909","435,280","430,494","516,889","579,584","513,485","286,808","110,254","14,551","1,821","3,408,347","3,408,347","239,942","278,986","434,904","429,569","515,998","578,463","515,095","287,942","111,008","14,604","1,836","3,406,942","3,406,942","239,265","277,678","434,981","428,546","515,035","578,102","516,063","289,080","111,671","14,679","1,842","3,404,423","3,404,423","238,364","276,766","434,376","427,542","514,737","575,757","518,401","290,106","111,821","14,705","1,848","3,402,776","3,402,776","237,611","275,948","433,694","426,595","514,314","574,793","519,969","290,977","112,311","14,715","1,849","3,401,072","3,401,072","236,814","274,958","433,203","425,362","513,686","573,461","522,542","291,533","112,849","14,800","1,864"
"대구광역시  (2700000000)","2,433,568","2,433,568","185,945","233,311","322,594","302,617","390,628","428,955","313,213","171,945","74,745","8,915","700","2,431,523","2,431,523","185,155","232,363","322,534","301,805","389,655","428,427","314,502","172,311","75,116","8,956","699","2,429,059","2,429,059","184,227","231,161","322,350","301,074","388,419","428,389","315,443","172,853","75,447","8,993","703","2,427,954","2,427,954","183,631","230,453","322,265","300,366","387,880","427,621","316,981","173,456","75,574","9,024","703","2,428,022","2,428,022","182,953","229,707","322,718","299,733","387,441","427,685","317,981","174,208","75,804","9,089","703","2,428,228","2,428,228","182,168","228,864","323,345","299,184","386,857","427,501","319,802","174,435","76,234","9,129","709"
"인천광역시  (2800000000)","2,952,689","2,952,689","238,763","279,780","405,826","416,119","489,213","515,257","347,493","172,868","74,768","11,685","917","2,950,972","2,950,972","237,571","279,083","405,343","415,072","488,260","515,034","349,309","173,536","75,066","11,777","921","2,950,063","2,950,063","236,555","278,178","405,158","414,252","487,282","515,113","351,033","174,370","75,383","11,815","924","2,947,217","2,947,217","235,526","277,423","404,099","412,813","486,833","513,748","353,459","175,105","75,394","11,889","928","2,945,565","2,945,565","234,618","276,709","403,335","411,328","486,394","513,643","355,205","175,811","75,651","11,943","928","2,943,491","2,943,491","233,407","275,994","402,504","409,809","485,648","513,155","357,885","176,064","76,036","12,061","928"
"광주광역시  (2900000000)","1,455,705","1,455,705","124,957","162,130","207,787","190,641","244,621","234,045","156,074","91,156","38,293","5,591","410","1,456,096","1,456,096","124,409","161,641","208,412","190,220","244,392","234,352","156,796","91,258","38,573","5,631","412","1,455,533","1,455,533","123,851","160,902","208,753","189,797","243,859","234,541","157,418","91,584","38,746","5,664","418","1,455,048","1,455,048","123,413","160,383","208,765","189,436","243,727","233,826","158,721","91,879","38,816","5,663","419","1,454,709","1,454,709","122,863","159,816","208,961","189,053","243,442","233,747","159,502","92,265","38,960","5,678","422","1,454,154","1,454,154","122,309","159,172","209,096","188,454","243,152","233,774","160,460","92,458","39,133","5,723","423"
"대전광역시  (3000000000)","1,471,858","1,471,858","119,952","151,192","212,258","198,404","241,550","242,974","171,435","88,762","39,389","5,603","339","1,471,650","1,471,650","119,414","150,689","212,490","198,204","241,035","242,915","172,219","89,106","39,602","5,635","341","1,471,915","1,471,915","119,029","150,093","212,858","198,147","240,495","243,088","172,989","89,481","39,717","5,671","347","1,471,040","1,471,040","118,539","149,539","212,938","197,697","240,090","242,755","173,812","89,871","39,740","5,712","347","1,470,225","1,470,225","117,982","149,054","212,861","197,250","239,825","242,797","174,228","90,359","39,760","5,748","361","1,469,431","1,469,431","117,415","148,434","212,919","196,687","239,441","242,755","175,168","90,599","39,872","5,776","365"
"울산광역시  (3100000000)","1,144,563","1,144,563","102,979","115,019","147,434","157,548","190,195","211,169","137,496","57,704","21,847","3,013","159","1,144,098","1,144,098","102,596","114,667","147,252","157,147","189,852","211,109","138,280","58,029","21,970","3,035","161","1,143,148","1,143,148","102,217","114,140","146,995","156,559","189,546","211,118","138,964","58,365","22,039","3,043","162","1,142,190","1,142,190","101,761","113,822","146,741","156,012","189,274","210,714","139,985","58,616","22,068","3,032","165","1,141,362","1,141,362","101,316","113,536","146,406","155,472","189,127","210,564","140,639","58,937","22,155","3,041","169","1,140,310","1,140,310","100,818","113,185","145,980","154,757","188,931","210,425","141,600","59,134","22,267","3,046","167"
"세종특별자치시  (3600000000)","344,792","344,792","47,449","40,751","36,373","61,396","65,983","43,132","28,002","13,660","6,894","1,095","57","345,216","345,216","47,399","40,875","36,323","61,266","66,124","43,283","28,173","13,673","6,922","1,121","57","345,373","345,373","47,239","40,970","36,245","61,103","66,258","43,404","28,280","13,762","6,924","1,132","56","345,341","345,341","47,105","41,077","36,098","60,923","66,382","43,369","28,419","13,859","6,908","1,145","56","346,217","346,217","47,066","41,228","36,176","60,806","66,688","43,570","28,607","13,961","6,915","1,145","55","347,232","347,232","46,987","41,416","36,241","60,795","66,950","43,814","28,836","14,020","6,963","1,154","56"
"경기도  (4100000000)","13,288,975","13,288,975","1,175,669","1,344,847","1,779,533","1,916,550","2,296,447","2,208,632","1,435,865","745,509","332,678","49,185","4,060","13,311,254","13,311,254","1,172,865","1,342,695","1,786,677","1,917,619","2,296,203","2,212,849","1,445,636","748,404","334,613","49,584","4,109","13,324,041","13,324,041","1,169,656","1,341,519","1,788,779","1,916,581","2,294,087","2,217,878","1,453,705","751,632","336,198","49,854","4,152","13,338,020","13,338,020","1,166,941","1,340,623","1,791,260","1,914,790","2,295,521","2,217,025","1,466,163","754,497","336,956","50,079","4,165","13,351,891","13,351,891","1,164,671","1,339,699","1,792,794","1,912,629","2,296,589","2,220,221","1,474,875","757,425","338,524","50,274","4,190","13,370,714","13,370,714","1,161,588","1,338,833","1,795,440","1,912,042","2,297,528","2,223,814","1,486,778","759,138","340,520","50,809","4,224"
