local_id,year,home,office,industry,min_value
11,2021->2022,-0.18418981613242685,-0.6565179578246056,-0.6639468739668897,industry
21,2021->2022,-0.4065480605581601,-0.6685326890673711,-0.0010624706569070663,office
22,2021->2022,-0.31243918062980497,-0.7871301194122201,-0.5385016300348366,office
23,2021->2022,-0.195717671956405,-0.7191907394376181,-0.1550366286977566,office
24,2021->2022,-0.20088081176471378,-0.6717704528902029,-0.09627332853781574,office
25,2021->2022,-0.325548116586043,-0.8468790845653593,-0.2339909541425656,office
26,2021->2022,-0.33168564976595505,-0.12496057621056587,0.2329375575299459,home
29,2021->2022,-0.20217369268491064,-0.6532109760764666,0.1453735011743639,office
31,2021->2022,-0.18598930848180636,-0.8175152641409602,-0.38361619837660815,office
32,2021->2022,-0.3815218088849871,-1.0860589240519645,0.37297802888736553,office
33,2021->2022,-0.24063714830856614,-0.8355327425917236,0.14177456895156038,office
34,2021->2022,-0.25634559434155496,-1.0865105895864793,-0.089055647042147,office
35,2021->2022,-0.23590193580252988,-0.8461899910049784,-0.050058286951903674,office
36,2021->2022,-0.28792087819741374,-0.7750243618085209,-0.29352117594623833,office
37,2021->2022,-0.3884702280424808,-0.9584546086446015,0.005422264131659277,office
38,2021->2022,-0.4682492468943817,-0.8659519364470329,-0.5035860929758432,office
39,2021->2022,-0.48337160384738787,-0.6760380760405044,-0.47626118080729696,office
