,year,month,계(명),0-9세,10-19세,20-29세,30-39세,40-49세,50-59세,60-69세,70-79세,80세이상
0,2020,01,51847509,4148654,4940455,6806410,7045120,8389281,8666971,6344284,3607104,1899230
1,2020,02,51844627,4134824,4920794,6786097,7026850,8397417,8666798,6385073,3612980,1913794
2,2020,03,51843195,4119475,4902009,6799238,7006749,8375429,8662400,6426006,3623899,1927990
3,2020,04,51842524,4103848,4887408,6802925,6995799,8362127,8661935,6456674,3632966,1938842
4,2020,05,51841371,4089462,4872081,6804350,6985248,8346911,8668601,6481317,3646121,1947280
5,2020,06,51839408,4075794,4861506,6803579,6972185,8342267,8652260,6523322,3658049,1950446
6,2020,07,51839852,4062274,4850566,6801367,6956361,8338271,8653176,6549914,3671175,1956748
7,2020,08,51839953,4045950,4838700,6800612,6939804,8330276,8651547,6590179,3676849,1966036
8,2020,09,51841786,4027765,4828702,6801056,6922566,8321409,8652305,6630461,3680759,1976763
9,2020,10,51838016,4005030,4818481,6802784,6900752,8312221,8655292,6669780,3687451,1986225
10,2020,11,51834302,3984472,4807963,6804936,6884029,8305172,8653322,6707084,3693926,1993398
11,2020,12,51829023,3970070,4793336,6806153,6873117,8294787,8645014,6744506,3698246,2003794
12,2021,01,51825932,3944244,4784388,6792483,6856414,8285935,8642700,6794549,3707683,2017536
13,2021,02,51824142,3927428,4772917,6771959,6834586,8287143,8644918,6840597,3710261,2034333
14,2021,03,51705905,3908794,4761113,6767952,6812701,8250451,8613059,6876287,3694544,2021004
15,2021,04,51702100,3891405,4753626,6761949,6802386,8244087,8604370,6918145,3693918,2032214
16,2021,05,51683025,3874174,4746103,6754283,6788072,8220344,8606589,6957802,3694633,2041025
17,2021,06,51672400,3859229,4741570,6745313,6775108,8216263,8590314,7001815,3694311,2048477
18,2021,07,51671569,3843759,4737829,6733054,6764334,8205797,8591085,7039371,3699044,2057296
19,2021,08,51669716,3827185,4733729,6721376,6753189,8192793,8598568,7072000,3703046,2067830
20,2021,09,51667688,3809849,4727626,6708734,6745531,8182067,8610979,7097818,3705737,2079347
21,2021,10,51662290,3792548,4721726,6691903,6739933,8169827,8622455,7124259,3710920,2088719
22,2021,11,51652704,3775503,4716775,6674970,6731509,8165990,8631102,7147578,3712470,2096807
23,2021,12,51638809,3760350,4709316,6655923,6723435,8166792,8635211,7164712,3715084,2107986
24,2022,01,51632473,3736642,4706002,6632711,6704271,8166823,8635055,7196303,3724894,2129772
25,2022,02,51625561,3718850,4702667,6606751,6681507,8172801,8630063,7228356,3736880,2147686
26,2022,03,51610695,3697734,4699914,6594325,6673424,8157546,8638696,7237134,3749844,2162078
27,2022,04,51592660,3679892,4697255,6579507,6666711,8153849,8647758,7243664,3755435,2168589
28,2022,05,51583722,3662692,4695186,6564754,6660669,8142338,8650247,7245254,3783011,2179571
29,2022,06,51578178,3644574,4696377,6547881,6653299,8141674,8649731,7260782,3795157,2188703
30,2022,07,51574446,3624681,4696767,6531636,6647003,8134712,8651892,7279621,3807864,2200270
31,2022,08,51558441,3606212,4698846,6513110,6640555,8122023,8645832,7303567,3815045,2213251
32,2022,09,51466658,3587171,4700253,6487234,6629383,8099849,8623902,7309977,3813420,2215469
33,2022,10,51459626,3566622,4703349,6463741,6625319,8088855,8614576,7346707,3814072,2236385
34,2022,11,51450829,3548291,4704693,6441542,6620713,8083707,8607789,7379420,3818887,2245787
35,2022,12,51439038,3532642,4703196,6417181,6615511,8073117,8612064,7403539,3825717,2256071
36,2023,01,51430018,3510756,4702482,6393461,6600252,8065721,8616924,7434333,3835199,2270890
37,2023,02,51421479,3494655,4697666,6366296,6581804,8068794,8622349,7461127,3840239,2288549
38,2023,03,51414281,3478290,4690388,6349354,6585469,8047460,8620204,7485540,3855550,2302026
39,2023,04,51408155,3460142,4684275,6333731,6589037,8027947,8609976,7525051,3865977,2312019
40,2023,05,51400521,3445285,4679181,6318641,6588734,8007347,8622447,7537569,3883027,2318290
41,2023,06,51392745,3431910,4676000,6301901,6588552,7998075,8627184,7553882,3894490,2320751
42,2023,07,51387133,3415119,4674885,6284235,6588036,7988791,8631299,7571631,3907575,2325562
43,2023,08,51377213,3398415,4673674,6265976,6587136,7977613,8634255,7589676,3918796,2331672
