local_id,year,month,home,office,industry
11,2019,12,1097870,2717669,137056
21,2019,12,377074,747569,618818
22,2019,12,265313,546723,479806
23,2019,12,340396,775877,994895
24,2019,12,166000,322187,223063
25,2019,12,157417,446472,196752
26,2019,12,125660,327832,2425069
29,2019,12,41876,101637,135342
31,2019,12,1521531,3808512,5469176
32,2019,12,178799,768219,560345
33,2019,12,182951,612727,1560025
34,2019,12,240287,811655,3448754
35,2019,12,199481,565632,1164479
36,2019,12,196135,635490,1891801
37,2019,12,291363,952286,2452276
38,2019,12,372380,900831,1738707
39,2019,12,69800,233353,136203
